"Not if it were my own brother!" cried d’Artagnan, as if carried away by his enthusiasm.	«Non, fût-ce mon frère!» s'écria d'Artagnan comme emporté par l'enthousiasme.
Why do you remain pertinaciously perched on my knee, when I have given you notice to quit?"	Pourquoi cet entêtement à rester perchée sur mes genoux, quand je vous dis de vous en aller?
When he saw Catherine at the head, with her gentle boyish air, a superstitious idea caused him to risk another question.	Quand il aperçut, en tete, Catherine avec son air doux de garçon, l'idée superstitieuse lui vint de risquer une derniere demande.
"I'll be judge, I'll be jury," said cunning old Fury: "I'll try the whole cause, and condemn you to death."'	La Souris dit à Canichon : « Sans juge et sans jurés, mon bon ! » Mais Canichon plein de malice Dit : « C’est moi qui suis la justice, Et, que tu aies raison ou tort, Je vais te condamner à mort. »
One of them, Falcoz, a man of spirit and heart, a paper merchant at Verrieres, had purchased a printing press in the chief town of the Department and had started a newspaper.	L’un d’eux, Falcoz, homme d’esprit et de cœur, marchand de papier à Verrières, avait acheté une imprimerie dans le chef-lieu du département et entrepris un journal.
We were sitting on some garden chairs which we had brought, talking with Delouche, when Mademoiselle de Galais, deliberately leaving a group of young people amongst whom she seemed bored, made her way towards us.	Nous étions à causer avec Delouche, assis sur des chaises de jardin que nous avions apportées lorsque, quittant délibérément un groupe de jeunes gens où elle paraissait s’ennuyer, Mlle de Galais s’approcha de nous.
Petits princes, videz vos débats entre vous ; De recourir aux rois vous serez de grands fous.	So far the story--now the moral: Each petty Prince should settle his own quarrel.
"I have been calling on Mortimer, and he pointed you out to me from the window of his surgery as you passed.	– J’étais chez Mortimer, et il vous a désigné à ma curiosité par la fenêtre de son cabinet quand vous êtes passé.
And when the party entered the assembly room it consisted of only five altogether--Mr.	Bingley n’avait ramené de Londres que ses cinq sours et un cousin. Finalement, lorsque le contingent de Netherfield fit son entrée dans la salle du bal, il ne comptait en tout que cinq personnes : Mr.
He can't help howling. He's got a musical ear, and your playing MAKES him howl."	C’est plus fort que lui ; il a l’oreille musicale, et c’est ta façon de jouer qui le fait hurler. »
He comes in last: I am not looking at the arch, yet I see him enter.	Il arriva enfin. Je ne regardais pas du côté de la porte, et pourtant je le vis entrer.
We can understand his taking an evening stroll, but the ground was damp and the night inclement.	Nous pouvons admettre qu’il aimait se promener le soir, mais le sol était détrempé et la nuit peu clémente.
"Three people did."	– Trois personnes l’ont vue.
I saw my master approach the dressing-table, hold the papers in the flame of the candle, throw their charred ashes into the grate, and sweep the golden pieces into a small brown canvas bag.	«Je vis mon maître s'approcher de la table à toilette, présenter les papiers à la flamme de la chandelle, en jeter les débris noircis dans le foyer, puis jeter les pièces d'or dans un petit sac de toile brune.
The crater was reached.	Le cratère fut abordé.
The abbe Pirard, for all his gravity, laughed till the tears ran down his cheeks.	L’abbé Pirard, malgré sa gravité, rit aux larmes.
It fell as far as 73.5 centimeters.	Il tomba même à 73°5'.
He was about to yield to the emotion that was overpowering him, when, fortunately for himself, he caught an insolent glance from M. Valenod.	Il allait céder à l’attendrissement qui le gagnait, lorsque heureusement pour lui, il surprit un regard insolent de M. le baron de Valenod.
"Unjust!--unjust!" said my reason, forced by the agonising stimulus into precocious though transitory power: and Resolve, equally wrought up, instigated some strange expedient to achieve escape from insupportable oppression--as running away, or, if that could not be effected, never eating or drinking more, and letting myself die.	«Injustice! injustice!» criait ma raison excitée par le douloureux aiguillon d'une énergie précoce, mais passagère. Ce qu'il y avait en moi de résolution, exalté par tout ce qui se passait, me faisait rêver aux plus étranges moyens pour échapper à une aussi insupportable oppression; je songeais à fuir, par exemple, ou, si je ne pouvais m'échapper, à refuser toute espèce d'aliments et à me laisser mourir de faim.
Passepartout, not less surprised, rushed out and speedily returned, crying: "Monsieur, no more railway!"	Passepartout, non moins surpris, s'élança sur la voie et revint presque aussitôt, s'écriant : « Monsieur, plus de chemin de fer !
And don't you go, Maria, because I shall want somebody to hold me the light; and when the girl comes back, she must go out again for a bit of picture-cord; and Tom! - where's Tom? - Tom, you come here; I shall want you to hand me up the picture."	Quand la bonne reviendra, il faudra qu’elle ressorte chercher un bout de cordeliere a tableaux. Tom ! – Ou est Tom ? – Tom, viens ici, et prépare-toi a me tendre l’objet. »
Cold as night, cold as death, not a breath of air in her tresses, not a human sound in her ear, no longer a ray of light in her eyes; snapped in twain, crushed with chains, crouching beside a jug and a loaf, on a little straw, in a pool of water, which was formed under her by the sweating of the prison walls; without motion, almost without breath, she had no longer the power to suffer; Phoebus, the sun, midday, the open air, the streets of Paris, the dances with applause, the sweet babblings of love with the officer; then the priest, the old crone, the poignard, the blood, the torture, the gibbet; all this did, indeed, pass before her mind, sometimes as a charming and golden vision, sometimes as a hideous nightmare; but it was no longer anything but a vague and horrible struggle, lost in the gloom, or distant music played up above ground, and which was no longer audible at the depth where the unhappy girl had fallen.	Froide comme la nuit, froide comme la mort, plus un souffle d’air dans ses cheveux, plus un bruit humain à son oreille, plus une lueur de jour dans ses yeux, brisée en deux, écrasée de chaînes, accroupie près d’une cruche et d’un pain sur un peu de paille dans la mare d’eau qui se formait sous elle des suintements du cachot, sans mouvement, presque sans haleine, elle n’en était même plus à souffrir. Phœbus, le soleil, midi, le grand air, les rues de Paris, les danses aux applaudissements, les doux babillages d’amour avec l’officier, puis le prêtre, la matrulle, le poignard, le sang, la torture, le gibet, tout cela repassait bien encore dans son esprit, tantôt comme une vision chantante et dorée, tantôt comme un cauchemar difforme ; mais ce n’était plus qu’une lutte horrible et vague qui se perdait dans les ténèbres, ou qu’une musique lointaine qui se jouait là-haut sur la terre, et qu’on n’entendait plus à la profondeur où la malheureuse était tombée.
Cyrus Harding went himself to cut from the trunk of a species of black willow, a few pieces of bark; he brought them back to Granite House, and reduced them to a powder, which was administered that same evening to Herbert.	Cyrus Smith alla lui-même couper sur le tronc d'une espèce de saule noir quelques morceaux d'écorce; il les rapporta à Granite- House, il les réduisit en poudre, et cette poudre fut administrée le soir même à Harbert.
In the inside of this I thickened my wall to about ten feet thick with continually bringing earth out of my cave, and laying it at the foot of the wall, and walking upon it; and through the seven holes I contrived to plant the muskets, of which I took notice that I had got seven on shore out of the ship; these I planted like my cannon, and fitted them into frames, that held them like a carriage, so that I could fire all the seven guns in two minutes’ time; this wall I was many a weary month in finishing, and yet never thought myself safe till it was done.	Du côté extérieur je l'épaissis de dix pieds, en amoncelant contre toute la terre que j'extrayais de ma grotte, et en piétinant dessus. Dans les sept meurtrières j'imaginai de placer les mousquets que j'ai dit avoir sauvés du navire au nombre de sept, et de les monter en guise de canons sur des espèces d'affûts; de sorte que je pouvais en deux minutes faire feu de toute mon artillerie.
